KODE_BARANG,KODE_BARCODE,NAMA,KATEGORI,ISI,ISI_SATUAN,SATUAN,HARGA,STOK,stock
10001,8.99275E+12,123 BENDERA COKLAT 300G,SUSU,24,1,PCs, Rp19600 ,15,100
20020,8.99991E+12,2.3.4 FILTER,ROKOK,1,1,SLOF, Rp86000 ,43,100
20021,8.99991E+12,234 KERETEK,ROKOK,10,1,BUNGKUS, Rp12000 ,27,100
20018,8.99991E+12,234 KERETEK 12,ROKOK,20,1,BUNGKUS, Rp217000 ,46,100
20019,8.99991E+12,234 KERETEK 16,ROKOK,1,1,SLOF, Rp126000 ,44,100
20022,8.99927E+12,26-PROMIL GOLD 400G,TEPUNG,24,1,PCs, Rp98500 ,52,100
80002,8.88273E+12,888 CALIFORNIA NEW ORANGE,PARFUM,1,1,BOX, Rp9800 ,98,100
A2375,9.55502E+12,A LICAFE 100G,MINUMAN,24,1,BUNGKUS, Rp8000 ,40,100
A2376,9.55502E+12,A LICAFE 300G,MINUMAN,24,1,BUNGKUS, Rp21500 ,35,100
A2568,8.99276E+12,A&W SARSAPARILA 330ML,MINUMAN,24,1,KALENG, Rp5000 ,11,100
A2542,9.55659E+12,A1 PERMEN JAGUNG 150G,PERMEN,1,1,KARTON, Rp9000 ,22,100
A2492,9.55659E+12,A1 SHELLA SENBAI RICE 360G,SNACK,8,1,BUNGKUS, Rp30500 ,98,100
A2457,8.88838E+12,AAA  ANCOVY  FISH SAUCE 750G,MAKANAN KALENG,12,1,KALENG, Rp9800 ,92,100
A2431,8.85031E+12,ABAKUS PERMEN 120G KTK PENSIL,MAKANAN KALENG,1,1,KARTON, Rp15300 ,64,100
A2416,8.85031E+12,ABAKUS PERMEN 30G KTK BLT,MAKANAN KALENG,12,1,KALENG, Rp5500 ,18,100
A2432,8.85031E+12,ABAKUS PERMEN BONEKA,MINUMAN,12,1,PCs, Rp8800 ,59,100
A2435,8.88602E+12,ABC ALKALIN 9 VOLT,STATIONERY,6,1,PCs, Rp19200 ,38,100
A2689,8.991E+12,ABC BROWNIES 30S,TEH & KOPI,6,1,PCs, Rp26700 ,63,100
A2665,8.99239E+12,ABC CUP SELERA PEDAS 65G SEMUR,MINUMAN,24,1,KALENG, Rp3600 ,28,100
A2678,8.99239E+12,ABC CUP SELERA PEDAS 65G TOMAT,MINUMAN,24,1,KALENG, Rp3600 ,89,100
A2494,8.9911E+12,ABC DENT 130G,PASTA & S-GIGI,6,1,PCs, Rp3000 ,75,100
A2569,8.991E+12,ABC KOPI BROWNIES 5SX32G,TEH & KOPI,24,1,PACKs, Rp4000 ,84,100
A1482,8.991E+12,ABC KOPI MOCCA 5SX32G,TEH & KOPI,24,1,PACKs, Rp4300 ,58,100
A2455,8.991E+12,ABC KOPI SUSU 20SX32G,TEH & KOPI,6,1,PCs, Rp17200 ,20,100
