KODE_BARANG,KODE_BARCODE,NAMA,KATEGORI,ISI,ISI_SATUAN,SATUAN,HARGA,STOK,stock
10001,8992750000000.0,123 BENDERA COKLAT 300G,SUSU,24.0,1.0,PCs, Rp19600 ,15.0,100
20020,8999910000000.0,2.3.4 FILTER,ROKOK,1.0,1.0,SLOF, Rp86000 ,43.0,100
20021,8999910000000.0,234 KERETEK,ROKOK,10.0,1.0,BUNGKUS, Rp12000 ,27.0,100
20018,8999910000000.0,234 KERETEK 12,ROKOK,20.0,1.0,BUNGKUS, Rp217000 ,46.0,100
20019,8999910000000.0,234 KERETEK 16,ROKOK,1.0,1.0,SLOF, Rp126000 ,44.0,100
20022,8999270000000.0,26-PROMIL GOLD 400G,TEPUNG,24.0,1.0,PCs, Rp98500 ,52.0,100
80002,8882730000000.0,888 CALIFORNIA NEW ORANGE,PARFUM,1.0,1.0,BOX, Rp9800 ,98.0,100
A2375,9555020000000.0,A LICAFE 100G,MINUMAN,24.0,1.0,BUNGKUS, Rp8000 ,40.0,100
A2376,9555020000000.0,A LICAFE 300G,MINUMAN,24.0,1.0,BUNGKUS, Rp21500 ,35.0,100
A2568,8992760000000.0,A&W SARSAPARILA 330ML,MINUMAN,24.0,1.0,KALENG, Rp5000 ,11.0,100
A2542,9556590000000.0,A1 PERMEN JAGUNG 150G,PERMEN,1.0,1.0,KARTON, Rp9000 ,22.0,100
A2492,9556590000000.0,A1 SHELLA SENBAI RICE 360G,SNACK,8.0,1.0,BUNGKUS, Rp30500 ,98.0,100
A2457,8888380000000.0,AAA  ANCOVY  FISH SAUCE 750G,MAKANAN KALENG,12.0,1.0,KALENG, Rp9800 ,92.0,100
A2431,8850310000000.0,ABAKUS PERMEN 120G KTK PENSIL,MAKANAN KALENG,1.0,1.0,KARTON, Rp15300 ,64.0,100
A2416,8850310000000.0,ABAKUS PERMEN 30G KTK BLT,MAKANAN KALENG,12.0,1.0,KALENG, Rp5500 ,18.0,100
A2432,8850310000000.0,ABAKUS PERMEN BONEKA,MINUMAN,12.0,1.0,PCs, Rp8800 ,59.0,100
A2435,8886020000000.0,ABC ALKALIN 9 VOLT,STATIONERY,6.0,1.0,PCs, Rp19200 ,38.0,100
A2689,8991000000000.0,ABC BROWNIES 30S,TEH & KOPI,6.0,1.0,PCs, Rp26700 ,63.0,100
A2665,8992390000000.0,ABC CUP SELERA PEDAS 65G SEMUR,MINUMAN,24.0,1.0,KALENG, Rp3600 ,28.0,100
A2678,8992390000000.0,ABC CUP SELERA PEDAS 65G TOMAT,MINUMAN,24.0,1.0,KALENG, Rp3600 ,89.0,100
A2494,8991100000000.0,ABC DENT 130G,PASTA & S-GIGI,6.0,1.0,PCs, Rp3000 ,75.0,100
A2569,8991000000000.0,ABC KOPI BROWNIES 5SX32G,TEH & KOPI,24.0,1.0,PACKs, Rp4000 ,84.0,100
A1482,8991000000000.0,ABC KOPI MOCCA 5SX32G,TEH & KOPI,24.0,1.0,PACKs, Rp4300 ,58.0,100
A2455,8991000000000.0,ABC KOPI SUSU 20SX32G,TEH & KOPI,6.0,1.0,PCs, Rp17200 ,20.0,100
A2724,8992390000000.0,ABC MIE EAT&GO BASO AYAM 60G,MINUMAN,24.0,1.0,BOTOL, Rp3700 ,31.0,100
A2723,8992390000000.0,ABC MIE EAT&GO BASO SAPI 60G,MINUMAN,24.0,1.0,BOTOL, Rp3700 ,94.0,100
A2575,8991000000000.0,ABC PLUS 25GX5S,TEH & KOPI,24.0,1.0,PACKs, Rp2300 ,11.0,100
A2709,8991000000000.0,ABC PLUS BOX 5SX18G,PERMEN,6.0,1.0,BUNGKUS, Rp2300 ,32.0,100
A2486,8992390000000.0,ABC SOP TOMAT 70GX5S,MINUMAN,8.0,1.0,PCs, Rp7500 ,68.0,100
A2434,8886020000000.0,ABC SPW 9 VOLT NEW,STATIONERY,12.0,1.0,PCs, Rp8500 ,6.0,100
A2634,8991000000000.0,ABC STMJ 5SX28G,TEH & KOPI,6.0,1.0,PCs, Rp13200 ,71.0,100
A2780,8991000000000.0,ABC WHITE COFFE 30SX27.9G,KOSMETIK,6.0,1.0,PCs, Rp23400 ,8.0,100
A2760,8991000000000.0,ABC WHITE COFFE 5SX5S,SUSU,24.0,1.0,PCs, Rp8000 ,46.0,100
A2674,8993820000000.0,ABON SAP KINARI,ROKOK,10.0,1.0,BUNGKUS, Rp3000 ,52.0,100
A2422,8994020000000.0,ABON SAPI WAYANG,PARFUM,10.0,1.0,PCs, Rp3900 ,26.0,100
A2589,8993350000000.0,ABOTHYL 5ML,OBATAN,3.0,1.0,PCs, Rp17200 ,36.0,100
A2421,8993420000000.0,ABSOLUTE 150ML,KOSMETIK,36.0,1.0,BOTOL, Rp26800 ,57.0,100
A2738,8993420000000.0,ABSOLUTE ETERNITY 60ML,MINUMAN,36.0,1.0,BOTOL, Rp22000 ,26.0,100
A2703,8991920000000.0,ACCESS MILD,TANDAS,10.0,1.0,BOTOL, Rp8000 ,57.0,100
A2702,8991920000000.0,ACCESS MILD 10S,TANDAS,10.0,1.0,BOTOL, Rp73000 ,41.0,100
A2792,8993350000000.0,ACNE GEL 10ML,SABUN & SAMPHOO,1.0,1.0,LUSIN, Rp25400 ,15.0,100
A2480,8993480000000.0,ACTIFED SYRUP 60ML,MINUMAN,3.0,1.0,KALENG, Rp23900 ,87.0,100
A2482,8993480000000.0,ACTIFED SYRUP 60ML COUGH SUPPRESSAN,MINUMAN,3.0,1.0,KALENG, Rp26800 ,38.0,100
